,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
0,2,0,1,0,0,1,2,0,0,1
1,1,0,1,0,0,1,1,0,0,1
2,0,0,1,1,0,1,1,0,0,1
3,1,0,1,0,0,1,1,0,0,1
4,1,0,1,0,0,1,1,0,0,1
5,0,0,1,1,0,2,1,0,0,1
6,1,0,1,0,0,1,1,0,0,1
7,1,0,1,0,0,1,1,0,0,1
8,2,0,1,0,0,1,1,0,0,1
9,1,0,1,0,0,1,2,0,0,1
10,0,0,1,1,0,2,1,0,0,1
11,1,0,1,0,0,1,2,0,0,1
12,0,0,1,1,0,2,1,0,0,1
13,1,0,1,0,0,1,2,0,0,1
14,1,0,1,0,0,1,2,0,0,1
15,1,0,1,0,0,1,2,0,0,1
16,1,0,1,0,0,1,2,0,0,1
17,2,1,1,0,0,1,2,0,0,1
18,2,0,1,0,0,1,2,0,0,1
19,1,0,1,1,0,1,2,0,0,1
20,1,0,1,1,0,1,2,0,0,1
21,2,1,1,0,0,0,2,0,0,1
22,1,0,1,0,0,1,2,0,0,1
23,1,0,1,0,0,2,2,0,0,1
24,0,0,1,0,0,1,2,0,0,1
25,1,0,1,0,0,2,2,0,0,1
26,1,0,1,1,0,1,2,0,0,1
27,0,0,1,0,0,1,2,0,0,1
28,1,0,1,1,0,1,2,0,0,1
29,1,0,1,0,0,1,2,0,0,1
30,1,0,1,0,0,1,2,0,0,1
31,1,0,1,0,0,1,2,0,0,1
32,1,0,1,0,0,1,2,0,0,1
33,1,0,1,0,0,1,2,0,0,1
34,1,0,1,0,0,1,2,0,0,1
35,0,0,1,0,0,1,2,0,0,1
36,2,0,1,0,0,1,2,0,0,1
37,1,0,1,0,0,2,2,0,0,1
38,2,1,1,0,0,1,2,0,0,1
39,2,1,1,0,0,1,2,0,0,1
40,1,0,1,0,0,2,2,0,0,1
41,1,0,1,0,0,1,2,0,0,1
42,1,0,1,0,0,1,2,0,0,1
43,2,0,1,0,0,1,2,0,0,1
44,1,0,1,0,0,2,2,0,0,1
45,2,0,1,0,0,1,2,0,0,1
46,2,0,1,0,0,1,2,0,0,1
47,2,0,1,0,0,0,2,0,0,1
48,2,0,1,0,0,1,2,0,0,1
49,2,0,1,0,0,1,2,0,0,1
50,2,0,1,0,0,1,2,0,0,1
51,2,0,1,0,0,1,2,0,0,1
52,2,0,1,0,0,1,2,0,0,1
53,2,0,1,0,0,1,2,0,0,1
54,1,0,1,0,0,1,2,0,0,1
55,1,0,1,0,0,1,2,0,0,1
56,0,0,1,0,0,2,2,0,0,1
57,2,0,1,0,0,1,2,0,0,1
58,1,0,1,0,0,1,1,0,0,1
59,1,0,1,0,0,1,1,0,0,1
60,2,0,1,0,0,1,2,0,0,1
61,2,0,1,0,0,1,2,1,0,1
62,2,0,1,0,0,1,2,0,0,1
63,2,1,1,0,0,0,2,0,0,1
64,2,0,1,0,0,1,2,0,0,1
65,2,0,1,0,0,1,2,0,0,1
66,2,0,1,0,0,1,2,0,0,1
67,2,0,1,0,0,1,2,0,0,1
68,2,0,1,0,0,1,2,0,0,1
69,2,0,1,0,0,1,2,0,0,1
70,0,1,1,1,0,1,1,0,0,2
71,2,0,1,0,0,1,2,0,0,2
72,0,0,1,1,0,2,1,0,0,2
73,0,0,1,1,0,1,1,0,0,2
74,0,0,1,1,0,2,1,0,0,2
75,0,0,1,1,0,2,1,0,0,2
76,0,0,1,1,0,2,1,0,0,2
77,0,0,1,1,0,1,1,0,0,2
78,0,0,1,0,0,1,1,0,0,2
79,0,0,1,2,0,2,1,0,0,2
80,0,0,1,2,0,2,1,0,0,2
81,0,0,1,1,0,1,1,0,0,2
82,0,0,1,0,0,2,1,0,0,2
83,0,0,1,1,0,2,1,0,0,2
84,0,1,1,2,0,3,1,0,0,2
85,0,0,1,1,0,1,1,0,0,2
86,0,0,1,1,0,1,1,0,0,2
87,0,0,1,1,0,2,1,0,0,2
88,0,0,1,1,0,1,1,0,0,2
89,0,0,1,2,0,2,1,0,0,2
90,2,0,1,0,0,2,2,0,0,2
91,0,0,1,1,0,1,1,0,0,2
92,0,0,1,1,0,1,2,0,0,2
93,0,0,1,1,0,1,1,0,0,2
94,0,0,1,1,0,2,1,0,0,2
95,2,0,1,1,0,1,2,0,0,2
96,2,0,1,0,0,2,2,0,0,2
97,1,0,1,0,0,2,2,0,0,2
98,0,0,1,1,0,2,2,0,0,2
99,2,0,1,1,0,1,2,0,0,2
100,0,0,1,1,0,1,2,0,0,2
101,0,0,1,1,0,2,2,0,0,2
102,2,0,1,0,0,1,2,0,0,2
103,2,0,1,0,0,1,3,0,0,2
104,2,0,1,0,0,1,3,0,0,2
105,2,0,0,2,0,3,3,0,0,2
106,2,0,0,2,0,1,3,1,0,2
107,2,0,0,0,0,1,3,0,0,2
108,2,1,0,0,0,1,3,0,0,2
109,2,0,0,0,0,0,3,0,0,2
