age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
7,Private,0,HS-grad,0,Widowed,Exec-managerial,Not-in-family,White,Female,0,17,0,United-States,0
6,Private,0,7th-8th,0,Divorced,Machine-op-inspct,Unmarried,White,Female,0,17,1,United-States,0
5,Private,0,Some-college,1,Separated,Prof-specialty,Own-child,White,Female,0,17,1,United-States,0
4,Private,0,HS-grad,0,Divorced,Other-service,Unmarried,White,Female,0,17,2,United-States,0
5,Private,0,10th,0,Separated,Adm-clerical,Unmarried,White,Male,0,17,1,United-States,0
7,State-gov,0,Doctorate,4,Never-married,Prof-specialty,Other-relative,White,Female,0,17,0,United-States,1
7,Federal-gov,0,HS-grad,0,Divorced,Prof-specialty,Not-in-family,White,Female,0,17,1,United-States,0
5,Private,0,Some-college,1,Never-married,Craft-repair,Unmarried,White,Male,0,16,3,?,1
6,Private,0,Doctorate,4,Divorced,Prof-specialty,Unmarried,Black,Female,0,16,0,United-States,1
5,Self-emp-not-inc,0,Prof-school,4,Never-married,Prof-specialty,Not-in-family,White,Male,0,16,2,United-States,1
6,Private,0,Bachelors,2,Widowed,Other-service,Not-in-family,White,Female,0,16,0,United-States,1
4,Private,0,Masters,3,Separated,Exec-managerial,Not-in-family,White,Male,0,16,3,United-States,1
6,Private,0,Prof-school,4,Divorced,Prof-specialty,Not-in-family,White,Male,0,16,1,United-States,1
6,Private,0,11th,0,Divorced,Transport-moving,Not-in-family,White,Male,0,16,4,United-States,1
6,Private,0,Masters,3,Divorced,Exec-managerial,Not-in-family,White,Male,0,16,2,United-States,1
0,Private,0,Assoc-acdm,2,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,16,1,?,1
4,Private,0,Bachelors,2,Separated,Sales,Not-in-family,White,Male,0,16,2,United-States,1
5,Private,0,Bachelors,2,Never-married,Exec-managerial,Not-in-family,White,Male,0,16,1,United-States,1
3,Private,0,11th,0,Separated,Sales,Not-in-family,White,Female,0,15,1,United-States,0
6,Private,0,HS-grad,0,Divorced,Sales,Unmarried,White,Female,0,15,0,United-States,0
6,Private,0,Some-college,1,Married-civ-spouse,Transport-moving,Husband,White,Male,0,15,1,United-States,0
