left-weight,left-distance,right-weight,right-distance,class
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,-inf_to_2.33,0
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,-inf_to_2.33,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,2.33_to_3.67,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,-inf_to_2.33,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,-inf_to_2.33,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,2.33_to_3.67,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,2.33_to_3.67,-inf_to_2.33,1
-inf_to_1.33,-inf_to_2.33,2.33_to_3.67,-inf_to_2.33,1
-inf_to_1.33,-inf_to_2.33,2.33_to_3.67,2.33_to_3.67,1
-inf_to_1.33,-inf_to_2.33,2.33_to_3.67,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,2.33_to_3.67,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,3.67_to_inf,-inf_to_2.33,1
-inf_to_1.33,-inf_to_2.33,3.67_to_inf,-inf_to_2.33,1
-inf_to_1.33,-inf_to_2.33,3.67_to_inf,2.33_to_3.67,1
-inf_to_1.33,-inf_to_2.33,3.67_to_inf,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,3.67_to_inf,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,3.67_to_inf,-inf_to_2.33,1
-inf_to_1.33,-inf_to_2.33,3.67_to_inf,-inf_to_2.33,1
-inf_to_1.33,-inf_to_2.33,3.67_to_inf,2.33_to_3.67,1
-inf_to_1.33,-inf_to_2.33,3.67_to_inf,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,3.67_to_inf,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,-inf_to_2.33,2
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,-inf_to_2.33,0
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,2.33_to_3.67,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,-inf_to_2.33,0
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,-inf_to_2.33,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,2.33_to_3.67,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,-inf_to_2.33,3.67_to_inf,1
-inf_to_1.33,-inf_to_2.33,2.33_to_3.67,-inf_to_2.33,1
-inf_to_1.33,-inf_to_2.33,2.33_to_3.67,-inf_to_2.33,1
